First Name,Last Name,Street Number,Street,City,Province,Country,Postal Code
DAVID,LastNameC,8975,Barrington,Sharjah,BC,India,AH7JH8
CHARLES,LastNameB,1592,Barrington,Halifax,AL,India,JH7KL1
DAVID,LastNameB,6789,Barrington,Dubai,ON,UAE,AH7JH8
RICHARD,LastNameD,0908,Barrington,Halifax,ON,UAE,AH7JH8
ROBERT,LastNameD,2323,Barrington,Dubai,AL,UAE,B3H3C2
CHARLES,LastNameD,8975,Barrington,Halifax,BC,UAE,AH7JH8
JOSEPH,LastNameE,0908,Inglis,Dubai,BC,UAE,JH7KL1
MICHAEL,LastNameD,1592,Barrington,Saint John,BC,UAE,JH7KL1
JOHN,LastNameC,7689,Barrington,Saint John,AL,UAE,JH7KL1
ROBERT,LastNameF,2332,Inglis,Halifax,ON,India,JH7KL1
ROBERT,LastNameC,7689,Barrington,Abu Dhabi,ON,UAE,B3H3C2
RICHARD,LastNameF,7689,Barrington,Sharjah,AL,UAE,B3H3C2
JOSEPH,LastNameE,6789,Barrington,Dubai,AL,UAE,AH7JH8
DAVID,LastNameC,6789,Barrington,Halifax,AL,UAE,B3H3C2
JOHN,LastNameE,1592,Inglis,Sharjah,BC,UAE,AH7JH8
CHARLES,LastNameE,7689,Barrington,Dubai,BC,UAE,JH7KL1
RICHARD,LastNameD,0908,Inglis,Halifax,ON,UAE,B3H3C2
JOSEPH,LastNameD,1592,Inglis,Dubai,ON,UAE,AH7JH8
MICHAEL,LastNameE,2323,Barrington,Dubai,AL,India,AH7JH8
ROBERT,LastNameD,2323,Barrington,Dubai,BC,India,AH7JH8
